1975,,,1980,,,1985,,,1990,,,1995,,,2000,,,2005,,,2010,,,2015,,
Word,Freq,Relative Freq,Word,Freq,Relative Freq,Word,Freq,Relative Freq,Word,Freq,Relative Freq,Word,Freq,Relative Freq,Word,Freq,Relative Freq,Word,Freq,Relative Freq,Word,Freq,Relative Freq,Word,Freq,Relative Freq
love,977,0.015174106,love,634,0.010282359,love,1430,0.013833801,love,772,0.010762582,love,539,0.009446528,know,595,0.00729417,like,857,0.010429978,like,598,0.009405473,like,346,0.008188574
baby,352,0.005467027,know,423,0.006860312,know,788,0.007623101,baby,514,0.00716576,know,475,0.008324862,like,543,0.006656696,got,678,0.008251488,oh,587,0.009232463,got,306,0.007241918
like,346,0.005373839,night,325,0.005270926,oh,702,0.006791139,know,486,0.006775408,baby,396,0.006940306,love,516,0.0063257,know,672,0.008178466,love,463,0.007282164,know,304,0.007194585
got,334,0.005187463,got,294,0.00476816,baby,615,0.005949502,got,339,0.004726056,like,347,0.006081531,got,488,0.005982445,get,469,0.005707888,know,382,0.006008179,love,266,0.006295262
know,329,0.005109806,time,272,0.004411359,got,557,0.005388411,like,337,0.004698174,got,299,0.005240282,baby,413,0.005063012,love,452,0.005500992,yeah,317,0.004985845,oh,231,0.005466938
yeah,289,0.004488553,like,271,0.004395141,Oh,468,0.004527426,make,310,0.004321762,make,272,0.004767079,get,397,0.004866866,girl,340,0.004137914,get,307,0.004828562,let,182,0.004307285
get,275,0.004271115,want,254,0.004119431,want,463,0.004479056,get,308,0.00429388,yeah,266,0.004661923,yeah,324,0.003971951,see,330,0.004016211,baby,307,0.004828562,one,179,0.004236285
Oh,249,0.0038673,yeah,252,0.004086995,We,407,0.003937313,time,291,0.00405688,want,246,0.004311402,girl,321,0.003935174,go,303,0.003687612,got,302,0.004749921,work,175,0.00414162
night,244,0.003789644,baby,235,0.003811285,yeah,403,0.003898617,want,276,0.003847762,oh,236,0.004136142,go,311,0.003812583,So,292,0.003553738,We,277,0.004356716,go,158,0.003739291
way,235,0.003649862,one,234,0.003795066,time,383,0.003705137,go,270,0.003764115,one,208,0.003645413,right,268,0.003285441,want,290,0.003529397,want,248,0.003900598,get,153,0.003620959
want,225,0.003494549,Oh,233,0.003778848,like,365,0.003531005,yeah,268,0.003736233,go,194,0.003400049,Oh,267,0.003273182,gon,278,0.003383353,Oh,245,0.003853413,baby,150,0.00354996
good,216,0.003354767,say,228,0.003697757,make,350,0.003385895,way,261,0.003638645,see,194,0.003400049,gon,264,0.003236405,one,274,0.003334672,gon,232,0.003648946,yeah,149,0.003526293
oh,203,0.003152859,gon,209,0.003389611,heart,350,0.003385895,heart,243,0.003387704,get,188,0.003294893,make,251,0.003077036,yeah,266,0.003237309,go,231,0.003633218,Oh,145,0.003431628
time,187,0.002904358,never,186,0.003016591,go,349,0.003376221,see,242,0.003373763,need,178,0.003119633,need,246,0.003015741,baby,264,0.003212969,never,230,0.00361749,We,145,0.003431628
We,182,0.002826701,get,184,0.002984155,gon,344,0.003327851,never,235,0.003276175,gon,176,0.003084581,back,243,0.002978963,make,258,0.003139947,let,222,0.003491664,feel,143,0.003384295
stop,182,0.002826701,let,178,0.002886845,feel,343,0.003318177,one,230,0.003206469,body,175,0.003067055,oh,241,0.002954445,way,255,0.003103436,night,215,0.003381567,need,137,0.003242297
see,179,0.002780107,heart,177,0.002870627,never,338,0.003269807,gon,229,0.003192528,never,165,0.002891794,'Cause,239,0.002929927,ai,251,0.003054754,'Cause,212,0.003334382,time,127,0.003005633
When,177,0.002749045,We,173,0.002805754,one,333,0.003221438,man,217,0.003025234,back,159,0.002786638,see,238,0.002917668,let,238,0.00289654,one,203,0.003192828,want,117,0.002768969
come,175,0.002717982,Let,172,0.002789536,need,329,0.003182742,Oh,216,0.003011292,Oh,155,0.002716534,way,238,0.002917668,oh,238,0.00289654,make,189,0.002972633,So,109,0.002579637
right,173,0.00268692,make,171,0.002773318,get,300,0.002902196,feel,216,0.003011292,come,150,0.002628904,say,235,0.002880891,ya,235,0.002860029,hey,186,0.002925448,'Cause,107,0.002532305
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
